Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
SAP Accounts Payable Boot Camp,"Quickly learn how to manage accounts payable (AP) tasks in the SAP suite of enterprise software. Get acquainted with the entry and review of non-purchase order and purchase order invoices in SAP. Learn the fundamentals of basic AP reporting, including how to run an open item age analysis report. Plus, discover how to enter manual payments, review and audit posted invoices, and tackle the processing of automatic payments.<br><br>This course was created by Michael Management. We are pleased to offer this training in our library.",Course,2021-12-16 20:04 UTC,N/A,false,N/A,
How to Build and Execute a Successful Data Strategy,"Are you aware of the importance of having an effective data strategy, but not sure how to develop one or implement it? In this course, instructor Leon Gordon covers a wide range of data strategy-related topics, such as how to assess organizational data maturity, define business goals and objectives, develop a data road map, create data architecture and infrastructure, and implement data governance and data quality. Learn how to build a strategic business culture that prioritizes data-driven decision-making and organizational success. Explore the fundamentals of leveraging data analytics for insights and overcoming challenges in data strategy implementation. Along the way, Leon offers insights from real-world case studies highlighting best practices for effective data strategy development and execution.",Course,2025-05-19 07:38 UTC,N/A,false,N/A,
Learning SAP SD (Sales and Distribution),"SAP Sales and Distribution (SD)—a key module in SAP ERP— stores customer and product data for selling, shipping, and billing. In this course, instructor Justin Valley delves into SAP SD, explaining how to approach common transactions and reports in the module. To begin, Justin provides a high-level overview of integral SD processes, as well as how the different processes fit into SAP ERP. Next, he goes over the essential elements of master data in SAP SD and steps through the sales, distribution, billing, and returns processes. Plus, he shows how to run reports that give you an immediate look at the health and efficiency of your sales department.",Course,2020-09-13 15:52 UTC,N/A,false,N/A,
Creating a Responsive Presentation in HTML5,"Follow along with author Justin Putney as he uses open technologies (HTML5, jQuery, and CSS) to create a dynamic presentation slideshow that responds to mobile and desktop layouts. Learn to customize the slideshow to fit your next project, and to display artwork, photography, and other kinds of content.<br><br>

Discover how to structure the HTML and slide content; design the navigation to react to clicks, keyboard input, and swipe gestures; and use CSS to customize the slide display for different screens and animated transitions. Justin also includes a series of challenge-and-solution pairs to test your skills.<br><br>

Then, when you're ready, watch the <em>HTML5 Projects: Creating an Advanced Responsive Presentation</em> follow-up course to enhance your web presentation slides with audio, video, and an automatic playback feature.",Course,2018-08-16 15:32 UTC,N/A,false,N/A,
SAP BI/BW: Project Design and Implementation,"Get a hands-on guide showing how to go from the theoretical capabilities of SAP Business Intelligence (BI) and Business Warehouse (BW) to the nitty-gritty of building real-world solutions. Learn how to organize data with InfoObjects, build catalogs and collections, aggregate data from multiple sources in a DataSource, trigger calls for data into a Persistent Staging Area (PSA), and add and edit data in a DataStore object (DSO). You can also see how to manage organization methods and perform operations in an InfoCube. Plus, learn to exponentially speed up your data processing workflows with automation and perform data analysis in SAP BW.<br><br>

This course was created by Michael Management. We are pleased to offer this training in our library.",Course,2023-04-10 08:10 UTC,N/A,false,N/A,
Managing Project Stakeholders,"<p>Your stakeholders—individuals with a vested interest in your project's results—might not be present in your day-to-day work. But since they ultimately impact your project's outcomes, knowing how to define who your stakeholders are and what they need is integral to your success as a project manager. In this course, learn how to identify stakeholder needs and expectations, both explicit and implicit, and build and sustain stakeholder engagement. Natasha Kasimtseva begins by detailing the measurable benefits related to successful stakeholder management. She then explains how to iteratively identify your own stakeholders; analyze and evaluate stakeholders using both emotional intelligence and data representation tools; and engage in service-based thinking as a leader. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-project-management-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2021-04-26 12:50 UTC,N/A,false,N/A,
Project Management Foundations: Communication,"<p>As a project manager, you'll spend most of your time communicating. To keep a fast-moving project on track, you need to know how to juggle the emails, phone calls, voice mail, and documentation. In this course, instructor Doug Rose shares the secrets of managing project communication, detailing how to craft a solid communication strategy that helps your team maximize buy-in and prioritize stakeholder input. Discover how to use a communication plan to develop two-way communication goals, run efficient meetings, and create concise reports. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-project-management-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2021-03-10 14:33 UTC,N/A,false,N/A,
Developing Business Acumen (2016),"Having business acumen means understanding how your business operates. If you are interested in moving up in an organization, you need to understand what your organization's competitive advantage is, what drives performance, and how you compete against other organizations. This knowledge helps you exercise good judgment when making business decisions. In this course, leadership expert Mike Figliuolo explains the most common business topics and terms you need to be familiar with—business models, financials, strategy, sales and marketing, R&D, P&L, EBITDA, and other key concepts. He leads you through a series of questions that will help you understand your business better, such as:<br><br> 
<ul>
<li>What business are you in?</li> 
<li>What's your market and who is your competition?</li>
<li>What problem does your business solve?</li> 
<li>How are your products and services created?</li> 
<li>What are your pricing and growth strategies?</li>
<li>How do you measure performance?</li>
</ul>
<br>
With the answers in hand, you can be assured you have the knowledge to make the best decisions for your business.",Course,2023-01-18 17:57 UTC,N/A,false,N/A,
Introduction to SAP BI/BW,"Get a learner-friendly introduction to the Business Intelligence (BI) and Business Warehouse (BW) tools in SAP. This extensive overview course is valuable to all who want to understand what is required to develop within the BI and BW solutions. Learn what makes up the systems, the objects used, and how it all works together to form a cohesive solution that makes it such a great tool. Discover how to pull and organize data from sources, map data into InfoObjects, modify data, combine data from multiple sources, and store your data in memory with SAP HANA.<br><br>This course was created by Michael Management. We are pleased to offer this training in our library.",Course,2022-11-30 19:47 UTC,N/A,false,N/A,
Excel: VLOOKUP and XLOOKUP for Beginners,"Many Excel users hear “VLOOKUP” and envision a complicated function reserved only for power users. Not so! VLOOKUP—and XLOOKUP, the newer version for 365 subscribers—are among Excel’s most powerful functions, yet you can master them with a few simple steps. In this mini-course, Jess Stratton walks you step-by-step through creating a simple lookup in Excel using both VLOOKUP and XLOOKUP, then shows you how to error-proof your formulas. Supercharge your Excel skills and save time with these powerful lookup functions.",Course,2025-05-19 07:29 UTC,2025-05-19 07:22 UTC,false,N/A,
Learning C++ (2021),"C++ is one of the most powerful and widely used programming languages of all time. It is also one of the oldest programming languages in use today. In this course, learn the basic elements of this object-oriented programming language that moves the world. Instructor Eduardo Corpeño begins with setting up the development environment and introducing the basic elements of object-oriented programming. Eduardo covers data types such as variables, expressions, assignments, constants, and more. He explains structures, classes, pointers, vectors, and so on. After stepping through the control flow process and a variety of useful functions, Eduardo finishes up with detailed information on opening and working with files.",Course,2022-09-24 09:10 UTC,N/A,false,N/A,
Ableton Live 12 Essential Training,"Do you work in audio recording, loop-based songwriting, or synth and sound design? In this course, music professor Rick Schmunk walks you through a variety of ways you can use Ableton Live 12 in your workflows. Rick shows you how to set up your system and use the Ableton Live user interface. He explains how to work with the browser, the Arrangement view, and the Session view. After going over how to use the MIDI Editor, how to record and edit audio, and how to work with arrangements, Rick covers plug-ins, effects racks, the live mixer, and mapping. Then he demonstrates how to make your life easier by automating graphics, editing, and clips, including real-time automation. Rick concludes with some practical advice on managing your files.",Course,2025-02-01 09:04 UTC,N/A,false,N/A,
SAP Accounts Receivable Boot Camp,"Learn the ins and outs of the accounts receivable (AR) functionality in the SAP suite of enterprise software. In this concise course, learn how to enter and review various kinds of AR invoices in SAP, taking a deep dive into both non-sales order and sales older invoices. Then, explore basic AR reporting in SAP, including how to display customer balances and line items and access an AR open item age analysis report. Plus, learn how to enter manual cash receipts in SAP and approach lockbox electronic file processing.<br><br>This course was created by Michael Management. We are pleased to offer this training in our library.",Course,2021-09-13 09:26 UTC,N/A,false,N/A,
"Japanese, Part 6: Simple Conversations about Everyday Topics","<p>In this course, Yuki Sasaki Caldwell—an Instructor of Japanese Language in the Department of Comparative Literature and Intercultural Studies at the University of Georgia (UGA)—focuses on the specific vocabulary and verb forms that you need to be able to ask someone their opinion and answer the question when you are asked—whether in the positive or the negative. Review the meaning of kimono. Learn how to describe general Japanese, Eastern, and Western clothing, food, rooms, and even plumbing. Plus, practice several related kanji. </p>

<p>This course was created by The Great Courses. We are pleased to host this training in our library.</p>",Course,2025-08-08 18:17 UTC,N/A,false,N/A,
"C#: Delegates, Events, and Lambdas","C# provides different function types to fit a variety of real-world development scenarios. In this course, Joe Marini explores three important features of C#: Delegates, events, and lambdas. First, Joe shows how delegates are used to provide interchangeable functions during the lifetime of a program, which makes it easy to modify the functionality of an app on the fly. He then covers events, which are used to handle messages from both within and outside the program and can be turned on and off dynamically. Finally, he shows how lambdas provide a concise, efficient way of writing simple expressions without having all the associated syntax of a full function. These features help keep C# code readable, efficient, and maintainable, so join Joe to learn how to adapt this flexible set of programming tools to your own C# programming needs.",Course,2023-09-25 07:17 UTC,N/A,false,N/A,
Find Your Passion: How Padma Lakshmi Found Hers,"Throughout Padma Lakshmi's impressive career, she has assumed a range of roles, including model, author, and executive producer of an Emmy award-winning show: <i>Top Chef</i>. In this course, Padma digs into the life and career experiences that helped her find success. Along the way, she shares practical strategies that can help professionals of all stripes find their unique place in the world, face their fears, and seize the opportunities that come their way. Tune in to get Padma's advice for young women on how to land their dream job, as well as her thoughts on the importance of giving back to your community—both by helping to eradicate inequality and by being vulnerable about your own challenges. Plus, she shares her take on why it's essential to nurture your own health and passions throughout your journey.",Course,2021-08-17 20:43 UTC,N/A,false,N/A,
Data Ethics: Watching Out for Data Misuse,"Technology has given organizations an opportunity to work with data in interesting new ways, but now governments, citizens, and customers are taking a close look at how companies use or misuse data. If one of your customers posts harmful information, should you take it down? Can you use data to manipulate your customer’s behavior? The answers to these questions have an enormous impact on how your customer views your organization. Yet, these decisions aren’t happening in the boardroom. Instead, they’re made in much smaller meetings by people just like you. Instructor Doug Rose gives you the understanding and skills you need to discuss these issues in a way that's both meaningful and productive. Doug begins with ethical views that you need to consider. He goes over ways data can be misused, by a company and by a customer. Then Doug goes over the responsibility to be accurate and what you can do when inaccurate materials are propagated. He concludes with an overview of data challenges.
 
This course was created for LinkedIn Learning by Doug Rose. We are pleased to offer this training in our library.",Course,2025-05-22 10:53 UTC,2025-05-22 10:50 UTC,false,N/A,
Hands-On SAP Business Rule Framework (BRF+),"If you’re looking to get up and running with BRF+ quickly, hands-on experience—in programming or any other skill—is a great way to learn. This course shows you how to create a BRF+ deliverable, covering everything from the requisite jargon and project preparation, to creating formulas, decision tables, functions, and rulesets. Throughout the course, the integration between ABAP code and BRF+ is detailed, providing you with a clearer understanding of how this tool can be applied. Completing the project in this hands-on course will help you learn how to translate business rules into visual documentation, discover how to maintain documentation within BRF+, and increase your confidence in doing more complex BRF+ projects going forward.
<br><br>
Note: This course was created by Michael Management. We are pleased to host this training in our library",Course,2021-12-09 19:44 UTC,N/A,false,N/A,
Foundations of Responsible AI (2022),"How well do you understand the issues around algorithmic bias and unfairness? In this course, data scientist and AI ethicist Ayodele Odubela teaches you the principles of responsible AI, as well as the frameworks necessary to apply RAI techniques in AI systems. Ayodele explains modern AI development and problems in machine learning (ML) that differ from software engineering. She discusses big data and where it comes from, then covers several important points of data awareness and literacy. Ayodele goes over ethical frameworks, consequence scanning, fairness, accountability, and more. She also explains fairness-related harms, why they arise, why they matter, and what you can to avoid or mitigate them. Plus, Ayodele offers a detailed description of human rights as related to AI.",Course,2025-05-23 09:13 UTC,2025-05-23 08:43 UTC,false,N/A,
"HTML, CSS, and Generative AI: Speed Up Your Process","Long gone are the days of learning code from books. Even electronic and online resources are becoming less popular. Now, artificial intelligence is a go-to tool for writing basic code, and while it has many advantages, it’s not without its own challenges. For one, while AI can help with the basics of coding, it still needs a knowledgeable user. In this course, Joe Casbona shows you how AI tools can help speed up your entire process. With the rapid development of generative AI tools, it’s important for web developers to understand how these tools work, and how they can be leveraged for prototyping, layout creation, testing, and more.",Course,2025-05-19 11:27 UTC,N/A,false,N/A,
Excel: VLOOKUP and XLOOKUP for Beginners (2021),"Many Excel users hear “VLOOKUP” and envision a complicated function reserved only for power users. Not so! VLOOKUP—and XLOOKUP, the newer version for 365 subscribers—are among Excel’s most powerful functions, yet you can master them with a few simple steps. In this mini-course, Jess Stratton walks you step-by-step through creating a simple lookup in Excel using both VLOOKUP and XLOOKUP, then shows you how to error-proof your formulas. Supercharge your Excel skills and save time with these powerful lookup functions.",Course,2021-09-20 11:10 UTC,N/A,false,N/A,
Excel: Lookup Functions in Depth (2020),"Microsoft Excel offers a variety of powerful lookup functions that allow you to easily retrieve information across spreadsheets. In this course, Excel expert Dennis Taylor demystifies some of the most  significant lookup functions. Tune in to learn how to use the new XLOOKUP function, which can handle all the capabilities of the widely used VLOOKUP and HLOOKUP functions, in addition to providing more power and flexibility. Explore uses of the MATCH function and the newer, more robust XMATCH function to match up data, and learn how to extract data using the INDEX function. Discover how to restructure the lists being searched to ensure that you're using each function efficiently, and learn about dynamic array lookup functions like UNIQUE, SORT, SORTBY, and FILTER. Along the way, Dennis shares practical examples that help you grasp how to implement these functions in your workflow.",Course,2021-02-11 07:50 UTC,N/A,false,N/A,
Eleven Tips for the .NET Developer,"This course from Learn-it Labs offers a deep dive into advanced .NET development techniques aimed at improving your coding workflows and application performance. Join instructor Walt Ritscher as he shows you how to distribute your applications efficiently and effectively. Learn how to manage single file deployment, manipulate and flatten sequences with LINQ's SelectMany, extend the functionality of the DateOnly type, transform data into more readable formats, return read-only collections safely, construct path strings for Linux and Windows, create fake data for testing, and more. Additionally, you'll learn to implement a version endpoint for web APIs, count Unicode characters correctly, and determine shared key values with LINQ's ToLookup method. By the end of this course, you will have mastered practical techniques to enhance your .NET applications and data manipulation methods.",Course,2025-01-24 13:39 UTC,N/A,false,N/A,
Using SQL with Python,"Are you familiar with SQL? Do you know Python? Are you interested in understanding how these two languages work together? Then join Bill Weinman in this course as he shows the power of these two languages combined. Bill starts with some basics—connecting to a database, performing simple queries, and reading rows from a table. He covers how to use prepared statements and cursors, how to build a wrapper class to streamline the SQL interface and support multiple different database engines, and how to build a CRUD class and a full-featured web application using what you've learned. Many applications require a combination of SQL and Python, and after finishing Bill’s course, you’ll have a better understanding of why and how you can leverage the power of these two languages together.",Course,2022-06-19 19:58 UTC,N/A,false,N/A,
Nano Tips for Negotiating Your Salary with Sho Dewan,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover the secrets to navigating a successful salary negotiation, with key insights from Sho Dewan, the CEO and founder of Workhap and a LinkedIn Top Voice in Job Search and Careers.</p><p>Learn the essentials of talking about salary so you know what to say when it counts. Find out how to research salaries, work closely with recruiters, share your salary expectations, and consider your compensation package beyond just the numbers. Sho walks you through the three most important things to know before you even start the negotiation, with pointers on how to make a counteroffer that’s fair to you and competitive with the market. Along the way, Sho also tells what to say when you’re ready to ask for a raise.</p>",Course,2023-02-14 06:17 UTC,N/A,false,N/A,
Learning Data Governance,"<p>In the era of big data and data science, data governance has the ability to help all types of organizations and individuals become more successful. In this course, Dr. Jonathan Reichental introduces the topic of data governance in terms that everyone can understand, and helps you discover why your organization may benefit from data governance, how it's implemented, and why it's essential in compliance and risk reduction efforts. Jonathan also covers the role of data governance in emerging technology areas such as knowledge graphs, artificial intelligence, and the Internet of Things. In the last part of the course, he shares ideas on how organizations should think about managing, monitoring, and measuring data governance efforts. As data science grows in its importance in the 21st century, so does the demand for data governance expertise. Start here to get your first look at this in-demand skill. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/data-engineering-foundations-professional-certificate-by-astronomer"" target=""_blank"">Professional Certificate</a> from Astronomer.</p>",Course,2025-05-19 10:54 UTC,2025-05-19 10:50 UTC,false,N/A,
Business Analyst and Project Manager Collaboration (2018),"<p>In a business environment where complexity and change are the norm, business analysts and project managers can collaborate together to get more successful results and better business outcomes. If you're a PM or BA, this course will help you understand what great collaboration looks like. Explore exactly what each role entails, and what the ideal partnership can achieve. Discover how BAs and PMs can collaborate at each stage of a project, from scope management and project planning to implementation. Then find out where the roles and responsibilities overlap, and learn how to coordinate on these tasks to enhance communication, reduce risk, engage stakeholders, and more effectively respond to change requests. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-business-analysis-by-microsoft-and-linkedin"">Professional Certificate</a> from Microsoft.</p>",Course,2018-08-16 15:33 UTC,N/A,false,N/A,
Developing a Learning Mindset in the Age of AI,"In this course, learn the skills to build a learning mindset. Instructor Gary Bolles explains how to develop your learning mindset, toolset, and skillset, how to develop a personal connection to learning outside of traditional education, how to create an inventory of your skills to shape your learning objectives, how to develop a growth mindset as a learner, and how to tune into the way your brain learns. Next, find out how to connect to your motivation to learn, how to develop a learning mindset at work, and how to use a learning mindset to power your personal learning.",Course,2025-09-23 06:35 UTC,N/A,false,N/A,
Practical GitHub Actions,"<p>For developer professionals, solving problems is a vital part of the job—particularly solving problems that keep coming up. GitHub Actions will let you automate your repetitive problems away, and in this course—created in partnership with GitHub—Ray Villalobos shows you how to set them up to tackle real-world projects. Ray starts with the basics of Actions, going over what you can do with them and how they work. He then shows you the steps necessary to publish a marketplace action, including creating a workflow, a generator repo Dockerfile, entry point, and action.yml file. Finally, Ray takes you through testing and releasing your GitHub Action.
</p><p>If you’re a developer looking to advance your career, or a recent computer science grad searching for a developer role, check out this course to learn practical skills to add your portfolio and enhance your standing in a competitive job market.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-github-professional-certificate"">Professional Certificate</a> from GitHub.</p>",Course,N/A,N/A,true,N/A,
JavaScript Practice: Object-Oriented Programming,"Unlike class-based programming languages like Java, JavaScript is a prototype-based procedural language. This means it supports functional <em>and</em> object-oriented programming—with less rigid syntax, greater extensibility, and fewer rules. In this hands-on, interactive course, join instructor Emma Bostian to practice performing basic object-oriented programming tasks in JavaScript to boost your technical know-how, prepare for an interview, or land a new role. This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Emma helps you boost your skills as a JavaScript programmer with five specific, query-focused coding challenges. Practice creating a course roster with functions, a book function with Object.create(), a country with classes, a food ordering class with getters and setters, and a user/admin class with private properties.",Course,2024-03-28 11:21 UTC,N/A,false,N/A,
How to Rock an Interview,"Up your interview game. Learn how to rock an interview and land your dream job, in this course adapted from the popular podcast <i>How to Be Awesome at Your Job</i>. Host Pete Mockaitis interviews Pam Skillings, the founder of Big Interview, about how job seekers can be more successful in interviews. It all starts with research. Pam explains how to research the company and the position so that you’re prepared to speak about your suitability in a nongeneric way. Demonstrating this level of preparation shows rather than tells just how motivated and excited you are for the role. Then discover how to prepare and practice—without overpreparing—and use the art of storytelling and the STAR framework to deliver your answers. Plus, learn the secret weapon to ace any interview.

<br><br>This course was created by Pete Mockaitis of <i><a href=""https://awesomeatyourjob.com/"" target=""_blank"">How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2021-02-11 07:52 UTC,N/A,false,N/A,
Excel Supply Chain Analysis: Solving Inventory Problems,"<p>Excel pro Curt Frye shows how to analyze inventory costs and develop effective inventory policies within a supply chain. He explains how to calculate total costs and total relevant costs for a product. He covers how to incorporate the effects of lead time into analysis and how to determine how much extra those minimum orders cost. Curt goes into how to evaluate quantity discounts and how to calculate production quantities to maximize profit. He discusses how back orders affect inventory policies and how to calculate the economic order quantity for inventory policies that allow back orders. He introduces you to difficulties associated with goods that have a limited lifespan, often called the newsvendor problem, then shows you how to generate the data and summaries required to solve a newsvendor problem. In conclusion, Curt walks you through how to calculate the base stock level for a target level of service and how to calculate a reorder point based on cycle service level performance. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-inventory-management-professional-certificate"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2023-06-14 19:07 UTC,N/A,false,N/A,
"Japanese, Part 3: Improving Fluency, Expression, and Writing","<p>In this course, Yuki Sasaki Caldwell—an experienced instructor of Japanese Language in the Department of Comparative Literature and Intercultural Studies at the University of Georgia (UGA)—shows you some additional ways to speak about the past by using the past-tense forms of i-adjectives, and the aizuchi words that will help your conversation move along more smoothly. You’ll also learn about sushi, from the Edo period up to the present day—and why no one could have eaten the sushi of old with chopsticks. </p>

<p>This course was created by The Great Courses. We are pleased to host this training in our library.</p>",Course,2025-08-11 05:32 UTC,N/A,false,N/A,
Power BI Data Modeling with DAX (2022),"Power BI Desktop makes it easy to create basic data models. But if you need to report across time periods—for example, visualize year-over-year growth or compare sales or other data by month or quarter—you need Data Analysis Expressions (DAX). DAX is a language you can use to create formulas for Power BI that extend your data model. In this course, Gini von Courter covers the essentials of working with DAX, sharing best practices for data model design and optimization along the way. Learn how to work with DAX aggregate functions, add calculated columns, create measures, and work with DAX logical and filter functions.",Course,2021-12-23 21:33 UTC,N/A,false,N/A,
Excel 2013: Pivot Tables,"Join Curt Frye as he explains how to leverage PivotTables to summarize, sort, count, and chart your data in Microsoft Excel. Curt shows you how to navigate the complexity of PivotTables while taking advantage of their power. This course shows how to build PivotTables from single or multiple data sources, add calculated fields, filter your results, and format your layout to make it more readable. Plus, learn how to enhance PivotTable with macros, DAX expressions, and the PowerPivot add-in for analyzing millions of rows of data.",Course,2017-11-16 22:35 UTC,N/A,false,N/A,
Asset Accounting: Acquisitions in SAP S/4HANA,"Learn how to perform large-scale asset accounting—with an emphasis on asset acquisition—in SAP S/4HANA using the SAP Fiori apps. In this Michael Management course, you can learn how to use the Fiori apps to manage asset master data, perform asset acquisitions, and run related reports. The lessons are conducted in the S/4HANA on-premises 1809 system, but most apply to other versions of S/4HANA as well. Learn about the structure of asset accounting, how to create fixed asset master records, how to post acquisition values to assets, and more. Follow along with the step-by-step demos to see first-hand how to manage different types of assets and common acquisition operations in SAP, including post capitalization and data corrections.<br><br>

This course was created by Michael Management. We are pleased to host this training in our library.",Course,2023-01-09 17:22 UTC,N/A,false,N/A,
Customer Service: Handling Abusive Customers (2018),"<p>What is the best way to handle a customer who steps into dangerous territory? What strategies will help diffuse and refocus a bad interaction, and when is it appropriate to walk away? In this course, join customer service expert David Brownlee—the author of <i>Rock Star Customer Service</i>—as he shares real-life examples and actionable steps that can help you confidently handle abusive customers in a variety of contexts. Upon wrapping up this course, you'll have the knowledge you need to formulate a plan of action and navigate difficult customer service interactions with poise and professionalism.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/zendesk-customer-service-professional-certificate"" target=""_blank"">Professional Certificate</a> from Zendesk.</p>",Course,2018-08-20 11:29 UTC,N/A,false,N/A,
